cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,nimy,roa,ntlnlsr,rbc1aaj,rbcrwaj
58214,0,0,3459216,0,Town Center Bank,Frankfort,IL,60423,12/31/2016,NM,3.17881965724206,0.688556915106958,-4.74962681503596E-02,10.1750267898148,15.640813722505
58216,0,1231333,3353154,1,BMO Harris Central National Association,Roselle,IL,60172,12/31/2016,N,,1.25177442250613,,86.8668642866349,428.208386277001
58218,0,0,3470930,0,Friendly Hills Bank,Whittier,CA,90603,12/31/2016,SM,3.42182350493067,0.518389213974891,9.46949200233761E-02,10.3714716475417,16.867836920782
58220,0,0,3429219,0,Heritage Bank & Trust,Columbia,TN,38401,12/31/2016,NM,4.17882700995482,0.91821765671582,0.155253686969448,9.97973612721111,13.8147199643692
58224,0,0,3435948,0,Northern California National Bank,Chico,CA,95926,12/31/2016,N,2.34854369438174,0.607729312341727,1.87147761178068E-02,9.13621179762136,21.585356394943
58227,0,3409994,3395293,0,Triumph Bank,Memphis,TN,38119,12/31/2016,SM,3.61137894708024,0.979127652000415,8.30065327043483E-02,10.0552170229695,11.963428102799
58228,0,3488850,3408728,0,Business First Bank,Baton Rouge,LA,70809,12/31/2016,NM,3.67267353260442,0.540766997498252,3.79158819836786E-02,9.90689520700786,11.8913581940231
58230,0,1491463,3383665,1,First Missouri State Bank of Cape County,Cape Girardeau,MO,63703,12/31/2016,NM,3.64596429469449,1.17650618728422,6.78505764816663E-02,8.5992428339643,10.5464152943285
58231,0,0,3447772,0,Ohana Pacific Bank,Honolulu,HI,96814,12/31/2016,NM,3.51460659134969,0.559341897533084,-1.01857057879255E-03,12.4376605712559,17.9509080620536
58234,0,0,3546862,0,Pacific Alliance Bank,Rosemead,CA,91770,12/31/2016,NM,2.98073305059116,0.832747170152137,3.58511052383586E-03,11.1632447182971,14.8829298110399
58239,0,0,3404506,0,Providence Bank,Rocky Mount,NC,27804,12/31/2016,NM,3.69371095202603,0.949720501082689,1.64585367138227E-02,10.4716636736741,13.9124580325574
58243,0,0,3419416,0,John Marshall Bank,Reston,VA,20190,12/31/2016,SM,3.82016337818951,0.840510053213065,0.330635438322604,11.4767461444073,12.3280792677333
58244,0,4131153,3455236,0,Choice bank,Oshkosh,WI,54904,12/31/2016,NM,3.30379278036809,1.05363206657304,0.161033837235049,10.9078294675522,14.9897662393623
58245,0,4902317,3429059,0,Union Bank & Trust Company,Oxford,NC,27565,12/31/2016,NM,4.68994676467383,0.538748878331096,0.205747776915012,10.0810777595834,12.9033890913622
58247,0,0,3444539,0,Legacy Bank of Florida,Boca Raton,FL,33431,12/31/2016,NM,3.67647817678057,0.630628007131371,4.80357120673163E-02,9.24859441493492,12.0008511762375
